run,treatment,layer,loi,sample_weight,beriget,comment,n15_raw,c13_raw,mg_n_in_sample,mg_c_in_sample,n_pct,c_pct,cn_ratio,n15korr,c13korr,tt,pipe_nr,pipe_diameter,veg,wet,cut
1,BCD,top,NA,7.835,FALSE,,-0.74848704,-28.81832026,0.065498929,1.299590038,0.835978679,16.58698198,19.84139357,-0.840106889,-29.27996644,D,12,17,B,D,C
1,BCD,middle,19.92031873,7.632,FALSE,,0.302357935,-26.66093572,0.033728903,0.597561052,0.441940554,7.829678354,17.71658719,0.210738087,-27.1225819,D,12,17,B,D,C
1,BCD,bottom,NA,7.558,FALSE,,0.880667392,-24.97974037,0.022788024,0.325056098,0.301508658,4.300821613,14.26433869,0.789047543,-25.44138655,D,12,17,B,D,C
1,BCW,top,NA,6.348,FALSE,,-0.371105272,-28.13824309,0.053481889,1.15355213,0.842499834,18.17189871,21.56902348,-0.46272512,-28.59988927,C,10,17,B,W,C
1,BCW,middle,11.95219124,7.421,FALSE,,-0.066432029,-26.79494903,0.030765713,0.484197576,0.414576382,6.524694462,15.73822036,-0.158051878,-27.2565952,C,10,17,B,W,C
1,BCW,bottom,NA,7.907,FALSE,,0.571279599,-25.53253369,0.02751122,0.382244925,0.347934988,4.834259832,13.89414687,0.479659751,-25.99417986,C,10,17,B,W,C
1,BUD,top,NA,6.417,FALSE,,-0.432952835,-27.94078119,0.057806021,1.117119023,0.900826252,17.40874277,19.32530577,-0.524572683,-28.40242736,H,11,17,B,D,U
1,BUD,middle,16.07142857,6.991,FALSE,,-0.191690835,-26.52688023,0.028513959,0.543987957,0.407866669,7.781261003,19.07795268,-0.283310683,-26.9885264,H,11,17,B,D,U
1,BUD,bottom,NA,8.197,FALSE,,0.194345664,-25.30788414,0.023777251,0.352072521,0.290072598,4.295138725,14.80711643,0.102725816,-25.76953031,H,11,17,B,D,U
1,BUW,top,NA,6.307,FALSE,,-0.916412156,-28.13851294,0.060030962,1.180147734,0.951814845,18.71171292,19.65898412,-1.008032004,-28.60015912,B,9,17,B,W,U
1,BUW,middle,18.09145129,8.137,FALSE,,0.030054339,-26.80513742,0.040959821,0.753315744,0.503377421,9.257905178,18.39157815,-0.06156551,-27.2667836,B,9,17,B,W,U
1,BUW,bottom,NA,8.528,FALSE,,2.888360707,-23.16578022,0.012211137,0.152227722,0.143188759,1.785034259,12.46630167,2.796740859,-23.62742639,B,9,17,B,W,U
1,SCD,top,NA,6.665,FALSE,,-0.928470267,-28.52786445,0.057399934,1.515497266,0.861214317,22.73814352,26.40242165,-1.020090115,-28.98951062,F,16,17,S,D,C
1,SCD,middle,20.03968254,8.078,FALSE,,-0.311868266,-26.73087114,0.047076787,0.760884515,0.582777755,9.419219055,16.16262627,-0.403488114,-27.19251731,F,16,17,S,D,C
1,SCD,bottom,NA,8.225,FALSE,,0.81559576,-25.67380621,0.03970973,0.543370314,0.482793071,6.606326007,13.68355598,0.723975912,-26.13545238,F,16,17,S,D,C
1,SCW,top,NA,6.204,FALSE,,-0.168822626,-27.72010421,0.062369474,1.418742406,1.005310669,22.86818837,22.74738455,-0.260442474,-28.18175038,A,14,17,S,W,C
1,SCW,middle,20.79207921,8.372,FALSE,,0.995563146,-26.88697218,0.039972843,0.704963694,0.477458705,8.420493238,17.63606601,0.903943297,-27.34861836,A,14,17,S,W,C
1,SCW,bottom,NA,6.287,FALSE,,2.468885278,-25.7279754,0.01799941,0.290105692,0.286295693,4.61437398,16.11751102,2.377265429,-26.18962157,A,14,17,S,W,C
1,SUD,top,NA,6.151,FALSE,,-1.103098179,-29.01936574,0.067690239,1.352005515,1.100475346,21.98025548,19.97341927,-1.194718028,-29.48101192,G,15,17,S,D,U
1,SUD,middle,20.3187251,7.875,FALSE,,0.012972775,-27.0739143,0.040587256,0.664863665,0.51539373,8.442713202,16.38109412,-0.078647074,-27.53556048,G,15,17,S,D,U
1,SUD,bottom,NA,6.733,FALSE,,0.236193037,-26.45221608,0.036747689,0.523997703,0.545784771,7.782529382,14.25933774,0.144573189,-26.91386226,G,15,17,S,D,U
1,SUW,top,NA,6.492,FALSE,,0.928937279,-28.87123282,0.080238663,1.553925777,1.235962146,23.93601012,19.36629709,0.83731743,-29.33287899,E,13,17,S,W,U
1,SUW,middle,19.20792079,6.891,FALSE,,-0.083230225,-26.05408468,0.031519842,0.487759693,0.457405923,7.078213504,15.47468703,-0.174850073,-26.51573086,E,13,17,S,W,U
1,SUW,bottom,NA,6.529,FALSE,,0.809968191,-25.47601593,0.024454226,0.356608721,0.374547797,5.461919456,14.58270346,0.718348342,-25.9376621,E,13,17,S,W,U
2,BCD,top,NA,7.129,TRUE,,158.3815402,-27.60524553,0.076008493,1.721354788,1.066187304,24.1458099,22.64687433,158.2899203,-28.0668917,B,19,17,B,D,C
2,BCD,middle,14.54183267,7.483,TRUE,,53.36249923,-25.09372374,0.032606421,0.505136666,0.435739959,6.750456587,15.49193837,53.27087938,-25.55536991,B,19,17,B,D,C
2,BCD,bottom,NA,7.616,TRUE,,2.573104134,-24.93353747,0.025085537,0.352688138,0.329379426,4.630884158,14.05942144,2.481484286,-25.39518364,B,19,17,B,D,C
3,BCD,top,NA,6.132,TRUE,,169.5213214,-24.53949234,0.054843702,1.072565178,0.89438523,17.49127817,19.55676099,169.4297016,-25.00113852,A,25,17,B,D,C
3,BCD,middle,21.51394422,7.214,TRUE,,10.90986051,-26.85895794,0.049328055,0.782159152,0.683782297,10.84223942,15.85627395,10.81824066,-27.32060412,A,25,17,B,D,C
3,BCD,bottom,NA,7.789,TRUE,,1.693261149,-24.95732814,0.030297138,0.396808076,0.388973404,5.094467525,13.097213,1.6016413,-25.41897432,A,25,17,B,D,C
4,BCD,top,NA,6.594,TRUE,,55.97569984,-26.82182813,0.064708802,1.310552339,0.981328503,19.87492173,20.25307699,55.88407999,-27.2834743,C,36,16.3,B,D,C
4,BCD,middle,22.31075697,6.859,TRUE,,60.47446477,-25.22130277,0.049075064,0.883810904,0.71548424,12.88541922,18.00936834,60.38284492,-25.68294894,C,36,16.3,B,D,C
4,BCD,bottom,NA,7.065,TRUE,,0.661124233,-25.54356708,0.035237639,0.507122703,0.498763463,7.177957581,14.39150643,0.569504384,-26.00521326,C,36,16.3,B,D,C
5,BCD,top,NA,6.204,TRUE,,55.36910388,-28.02341908,0.057241657,1.489960421,0.922657266,24.01612541,26.02930285,55.27748403,-28.48506525,E,44,16.3,B,D,C
5,BCD,middle,16.46825397,7.186,TRUE,,3.357233292,-25.57513264,0.024089132,0.375377176,0.335223105,5.223729147,15.5828434,3.265613443,-26.03677881,E,44,16.3,B,D,C
5,BCD,bottom,NA,6.566,TRUE,,0.860972757,-26.22621253,0.033585551,0.532040079,0.511507013,8.102955815,15.84133864,0.769352909,-26.6878587,E,44,16.3,B,D,C
6,BCD,top,NA,6.177,TRUE,,56.20055531,-29.35444611,0.054310762,1.530911589,0.879241735,24.78406329,28.18799687,56.10893546,-29.81609228,H,52,17,B,D,C
6,BCD,middle,13.2,6.636,TRUE,,83.2718612,-24.27705648,0.018124705,0.341960796,0.273126957,5.153116268,18.86710972,83.18024136,-24.73870265,H,52,17,B,D,C
6,BCD,bottom,NA,7.292,TRUE,,2.012265478,-24.19857748,0.015872708,0.209251533,0.217672908,2.86960413,13.18310192,1.92064563,-24.66022365,H,52,17,B,D,C
2,BCW,top,NA,6.963,TRUE,,155.26117730000001,-25.65342681,0.057625658,1.206254221,0.827598127,17.32377166,20.93258925,155.1695575,-26.11507299,C,17,17,B,W,C
2,BCW,middle,19.68190855,7.865,TRUE,,93.27925539,-25.2085073,0.041826243,0.748930691,0.531802199,9.522322838,17.90576057,93.18763554,-25.67015347,C,17,17,B,W,C
2,BCW,bottom,NA,6.307,TRUE,,2.023039916,-25.98261532,0.025706662,0.399223037,0.407589385,6.329840449,15.52994433,1.931420067,-26.44426149,C,17,17,B,W,C
3,BCW,top,NA,7.746,TRUE,,800.7237952,-17.80335762,0.082904372,1.562541746,1.070286244,20.17224046,18.84751914,800.6321754,-18.2650038,B,27,17,B,W,C
3,BCW,middle,12.35059761,8.049,TRUE,,74.88069961,-24.12677364,0.02699887,0.441958104,0.335431355,5.49084488,16.36950393,74.78907976,-24.58841981,B,27,17,B,W,C
3,BCW,bottom,NA,7.891,TRUE,,1.147091773,-24.69460397,0.020084715,0.300522037,0.254526869,3.808415117,14.96272331,1.055471924,-25.15625015,B,27,17,B,W,C
4,BCW,top,NA,6.321,TRUE,,153.0643995,-25.63287863,0.062434979,1.252778623,0.987738947,19.8193106,20.06533271,152.9727796,-26.0945248,A,35,16.3,B,W,C
4,BCW,middle,21.82539683,6.829,TRUE,,102.2946515,-24.38559885,0.048018609,0.824148949,0.703157252,12.06836943,17.16311594,102.2030316,-24.84724502,A,35,16.3,B,W,C
4,BCW,bottom,NA,6.404,TRUE,,-0.194939292,-26.01699698,0.032773299,0.474264901,0.511762945,7.405760481,14.47107601,-0.286559141,-26.47864315,A,35,16.3,B,W,C
5,BCW,top,NA,6.379,TRUE,,266.9224358,-26.25883145,0.056499477,1.557279311,0.885710569,24.41259305,27.56272071,266.8308159,-26.72047762,F,43,16.3,B,W,C
5,BCW,middle,14.71172962,7.441,TRUE,,47.25901005,-25.29451596,0.028943667,0.533947287,0.388975497,7.175746359,18.44781076,47.1673902,-25.75616213,F,43,16.3,B,W,C
5,BCW,bottom,NA,7.278,TRUE,,0.652789267,-26.2263519,0.038749851,0.573588826,0.532424437,7.881132535,14.80234938,0.561169419,-26.68799807,F,43,16.3,B,W,C
6,BCW,top,NA,6.337,TRUE,,413.45349650000003,-24.58963222,0.047463338,1.501078319,0.748987501,23.68752279,31.62605884,413.3618767,-25.0512784,E,50,17,B,W,C
6,BCW,middle,13.8,6.974,TRUE,,71.37833835,-24.1328456,0.025243998,0.437388021,0.361973015,6.271695167,17.32641636,71.2867185,-24.59449177,E,50,17,B,W,C
6,BCW,bottom,NA,6.116,TRUE,,1.036554249,-24.68570907,0.016797195,0.254684888,0.274643476,4.164239498,15.16234631,0.944934401,-25.14735525,E,50,17,B,W,C
2,BUD,top,NA,6.452,TRUE,,139.2431094,-26.28429058,0.069365931,1.312184326,1.07510742,20.3376368,18.91684164,139.1514896,-26.74593676,A,20,17,B,D,U
2,BUD,middle,13.88888889,7.018,TRUE,,174.738473,-21.37426553,0.026000077,0.447326409,0.370477011,6.373987026,17.20481119,174.6468532,-21.83591171,A,20,17,B,D,U
2,BUD,bottom,NA,6.954,TRUE,,2.705493323,-23.74110971,0.013020824,0.169362927,0.187242222,2.435474934,13.00708201,2.613873475,-24.20275588,A,20,17,B,D,U
3,BUD,top,NA,6.042,TRUE,,192.1115447,-24.27211757,0.05132447,1.031845878,0.849461594,17.0778861,20.10436518,192.0199248,-24.73376374,C,26,17,B,D,U
3,BUD,middle,14.77045908,6.831,TRUE,,27.30277787,-25.04633901,0.025657808,0.426803853,0.37560837,6.248043526,16.634463,27.21115803,-25.50798518,C,26,17,B,D,U
3,BUD,bottom,NA,7.137,TRUE,,1.626343782,-25.32994147,0.024410137,0.355969951,0.342022383,4.987669207,14.58287368,1.534723934,-25.79158764,C,26,17,B,D,U
4,BUD,top,NA,6.845,TRUE,,267.8106851,-24.06092672,0.071877647,1.420850357,1.0500752,20.75749243,19.76762467,267.7190653,-24.5225729,G,34,16.3,B,D,U
4,BUD,middle,16.2,6.277,TRUE,,44.93651667,-24.80178814,0.033465662,0.593653091,0.533147397,9.457592663,17.73917066,44.84489682,-25.26343431,G,34,16.3,B,D,U
4,BUD,bottom,NA,8.039,TRUE,,1.971038779,-25.29002367,0.025120633,0.361197872,0.312484547,4.493069691,14.37853402,1.879418931,-25.75166984,G,34,16.3,B,D,U
5,BUD,top,NA,6.121,TRUE,,215.9716353,-25.76240625,0.049680026,1.614741033,0.81163251,26.38034689,32.50282184,215.8800154,-26.22405242,D,41,16.3,B,D,U
5,BUD,middle,14.74103586,7.526,TRUE,,77.90982538,-24.51916137,0.034522677,0.567980779,0.458712158,7.546914412,16.45239675,77.81820554,-24.98080754,D,41,16.3,B,D,U
5,BUD,bottom,NA,7.776,TRUE,,1.433262668,-25.31969111,0.024332782,0.350820959,0.312921584,4.511586403,14.4176261,1.34164282,-25.78133728,D,41,16.3,B,D,U
6,BUD,top,NA,6.454,TRUE,,172.9480482,-25.66385547,0.059296961,1.224466123,0.918762947,18.97220519,20.64972826,172.8564284,-26.12550164,B,49,17,B,D,U
6,BUD,middle,19.72111554,6.629,TRUE,,94.78102179,-25.18562189,0.045937326,0.930935244,0.692975194,14.04337371,20.26533394,94.68940194,-25.64726806,B,49,17,B,D,U
6,BUD,bottom,NA,7.984,TRUE,,-0.31800463,-26.15673475,0.04480265,0.769164241,0.561155431,9.633820657,17.16782931,-0.409624478,-26.61838093,B,49,17,B,D,U
2,BUW,top,NA,6.942,TRUE,,130.3393788,-26.80558416,0.075705543,1.363249779,1.090543687,19.63770929,18.00726512,130.247759,-27.26723033,G,18,17,B,W,U
2,BUW,middle,11.02204409,7.645,TRUE,,23.97962454,-25.23819821,0.022872376,0.35871634,0.299180844,4.692169259,15.683388,23.88800469,-25.69984439,G,18,17,B,W,U
2,BUW,bottom,NA,7.943,TRUE,,0.254661632,-26.55315656,0.036592133,0.506131545,0.46068404,6.372045135,13.83170368,0.163041784,-27.01480273,G,18,17,B,W,U
3,BUW,top,NA,7.005,TRUE,,151.8986772,-25.67236968,0.071490802,1.290066257,1.020568197,18.41636342,18.04520606,151.8070574,-26.13401586,G,28,17,B,W,U
3,BUW,middle,16.53386454,8.029,TRUE,,48.37276145,-25.92719555,0.042864527,0.735365608,0.5338713,9.158869202,17.15557513,48.2811416,-26.38884173,G,28,17,B,W,U
3,BUW,bottom,NA,7.693,TRUE,,0.532925979,-25.54145509,0.024414624,0.348625044,0.317361553,4.531717715,14.27935324,0.441306131,-26.00310127,G,28,17,B,W,U
4,BUW,top,NA,6.413,TRUE,,69.57140667,-27.30544276,0.06485,1.352214795,1.011227199,21.0855262,20.85142311,69.47978682,-27.76708893,E,33,16.3,B,W,U
4,BUW,middle,17.1314741,7.229,TRUE,,31.33758835,-25.37167812,0.03299957,0.524475626,0.45648873,7.255161521,15.89340775,31.2459685,-25.8333243,E,33,16.3,B,W,U
4,BUW,bottom,NA,8.352,TRUE,,2.954184494,-23.6568059,0.014580734,0.181457716,0.174577758,2.172625913,12.44503275,2.862564646,-24.11845207,E,33,16.3,B,W,U
5,BUW,top,NA,6.389,TRUE,,385.6935441,-22.36757574,0.039244535999999997,1.158475465,0.614251618,18.13234411,29.51940795,385.6019242,-22.82922192,H,42,16.3,B,W,U
5,BUW,middle,22.35528942,6.242,TRUE,,93.31121954,-24.74189741,0.053334728,1.003656887,0.854449339,16.07909143,18.81807463,93.21959969,-25.20354358,H,42,16.3,B,W,U
5,BUW,bottom,NA,6.417,TRUE,,0.649051178,-24.47005646,0.020216978,0.302491796,0.315053426,4.713912985,14.96226543,0.557431329,-24.93170263,H,42,16.3,B,W,U
6,BUW,top,NA,6.014,TRUE,,223.4439882,-25.4194841,0.041898757,1.346039897,0.696687015,22.38177414,32.12601018,223.3523684,-25.88113028,F,51,17,B,W,U
6,BUW,middle,13.6,6.591,TRUE,,63.87724513,-24.62893104,0.021941549,0.385554145,0.332901663,5.849706335,17.57187478,63.78562528,-25.09057722,F,51,17,B,W,U
6,BUW,bottom,NA,6.256,TRUE,,1.045997651,-24.93922295,0.01769333,0.268067531,0.282821769,4.284966934,15.15076772,0.954377802,-25.40086912,F,51,17,B,W,U
2,SCD,top,NA,6.906,TRUE,,219.009217,-25.38835744,0.07802725,1.513108946,1.129847229,21.91006293,19.39205793,218.9175971,-25.85000361,D,22,17,S,D,C
2,SCD,middle,17.1314741,8.344,TRUE,,59.93609315,-25.24005873,0.036595465,0.630388093,0.438584186,7.554986733,17.22585302,59.8444733,-25.70170491,D,22,17,S,D,C
2,SCD,bottom,NA,6.674,TRUE,,1.46529432,-24.99003218,0.022809378,0.335363849,0.341764736,5.024930314,14.70289293,1.373674471,-25.45167835,D,22,17,S,D,C
3,SCD,top,NA,6.572,TRUE,,183.1716475,-27.14602424,0.074431635,1.687253927,1.132556836,25.67337078,22.66850543,183.0800276,-27.60767042,E,32,17,S,D,C
3,SCD,middle,13.57285429,7.645,TRUE,,22.40517352,-25.41223382,0.025528788,0.401513394,0.333927906,5.25197376,15.72786722,22.31355367,-25.87388,E,32,17,S,D,C
3,SCD,bottom,NA,7.905,TRUE,,1.397393468,-24.96577424,0.024792146,0.345916392,0.313626138,4.37591894,13.95266022,1.30577362,-25.42742042,E,32,17,S,D,C
4,SCD,top,NA,6.428,TRUE,,83.48507928,-27.78208404,0.068009037,1.47454344,1.058012406,22.93938145,21.68158079,83.39345943,-28.24373022,H,38,16.3,S,D,C
4,SCD,middle,26.94610778,7.729,TRUE,,65.65497527,-24.83115888,0.041332041,0.758348703,0.534765705,9.811731176,18.34771954,65.56335542,-25.29280506,H,38,16.3,S,D,C
4,SCD,bottom,NA,6.602,TRUE,,-0.016148015,-25.47535363,0.023512609,0.364363287,0.356143736,5.518983439,15.49650569,-0.107767864,-25.9369998,H,38,16.3,S,D,C
5,SCD,top,NA,6.408,TRUE,,286.3301219,-24.03186401,0.059838207,1.380547625,0.93380473,21.54412648,23.07134008,286.238502,-24.49351018,G,47,16.3,S,D,C
5,SCD,middle,30.33932136,6.974,TRUE,,114.9784996,-24.88410698,0.052235873,1.19178106,0.749008792,17.08891684,22.8153755,114.8868797,-25.34575316,G,47,16.3,S,D,C
5,SCD,bottom,NA,8.154,TRUE,,0.28937707,-26.11429558,0.036766828,0.594453207,0.450905418,7.2903263,16.16819407,0.197757221,-26.57594175,G,47,16.3,S,D,C
6,SCD,top,NA,6.283,TRUE,,167.3426863,-27.22044171,0.075272999,1.712047197,1.198042321,27.24888105,22.74450624,167.2510665,-27.68208789,A,53,17,S,D,C
6,SCD,middle,17,8.54,TRUE,,77.98262505,-25.20278944,0.046137326,0.858899176,0.54024972,10.0573674,18.6161455,77.8910052,-25.66443562,A,53,17,S,D,C
6,SCD,bottom,NA,7.183,TRUE,,1.546994398,-24.61723018,0.020997939,0.306952722,0.29232826,4.273322035,14.61823099,1.455374549,-25.07887635,A,53,17,S,D,C
2,SCW,top,NA,6.181,TRUE,,101.2333128,-27.4152109,0.077798513,1.592656316,1.258671942,25.76696838,20.47155221,101.141693,-27.87685708,E,21,17,S,W,C
2,SCW,middle,18.29025845,6.168,TRUE,,74.31167578,-24.65191283,0.032217253,0.566805354,0.522329005,9.189451269,17.59322415,74.22005593,-25.113559,E,21,17,S,W,C
2,SCW,bottom,NA,6.552,TRUE,,0.624744735,-25.33983232,0.033743834,0.482283293,0.515015777,7.360856114,14.29248663,0.533124886,-25.8014785,E,21,17,S,W,C
3,SCW,top,NA,7.072,TRUE,,233.2615602,-24.83422042,0.079467169,1.470536553,1.123687351,20.79378609,18.50495698,233.1699404,-25.2958666,H,31,17,S,W,C
3,SCW,middle,17.16981132,8.144,TRUE,,40.00954505,-24.95047874,0.025177563,0.414073367,0.309154757,5.084397922,16.44612547,39.9179252,-25.41212491,H,31,17,S,W,C
3,SCW,bottom,NA,8.498,TRUE,,2.88103934,-23.82958046,0.014199131,0.178285094,0.167087911,2.097965328,12.55605695,2.789419492,-24.29122664,H,31,17,S,W,C
4,SCW,top,NA,6.118,TRUE,,160.6525305,-26.93514142,0.061963982,1.676687333,1.012814352,27.40580799,27.05906363,160.5609106,-27.3967876,B,40,16.3,S,W,C
4,SCW,middle,20.95808383,7.763,TRUE,,88.65700818,-25.59941654,0.042817467,0.792456938,0.551558254,10.2081275,18.50779573,88.56538833,-26.06106271,B,40,16.3,S,W,C
4,SCW,bottom,NA,6.648,TRUE,,2.640457928,-22.37114922,0.010967379,0.136994251,0.164972608,2.060683683,12.49106569,2.548838079,-22.83279539,B,40,16.3,S,W,C
5,SCW,top,NA,7.686,TRUE,,237.0142755,-25.65108078,0.075014156,1.580267986,0.975984335,20.5603433,21.06626362,236.9226556,-26.11272695,C,46,16.3,S,W,C
5,SCW,middle,14.97005988,8.074,TRUE,,96.07453894,-24.41115539,0.038734404,0.684936169,0.479742433,8.48323221,17.68288905,95.98291909,-24.87280156,C,46,16.3,S,W,C
5,SCW,bottom,NA,6.065,TRUE,,0.500966767,-25.67010072,0.026311928,0.367412235,0.433832276,6.057909886,13.96371415,0.409346918,-26.1317469,C,46,16.3,S,W,C
6,SCW,top,NA,6.119,TRUE,,339.1886275,-24.07522629,0.068506101,1.73556751,1.119563671,28.36358082,25.33449554,339.0970076,-24.53687246,D,54,17,S,W,C
6,SCW,middle,18.4,7.168,TRUE,,80.853675,-24.99212284,0.036181224,0.664841541,0.504760373,9.275133102,18.37531946,80.76205515,-25.45376901,D,54,17,S,W,C
6,SCW,bottom,NA,7.831,TRUE,,9.404516643,-25.17897534,0.023635931,0.356110834,0.301825196,4.547450307,15.06650329,9.312896795,-25.64062152,D,54,17,S,W,C
2,SUD,top,NA,6.872,TRUE,,240.2069715,-24.20657987,0.064087192,1.484351045,0.932584288,21.5999861,23.16143041,240.1153516,-24.66822605,F,24,17,S,D,U
2,SUD,middle,15.53784861,6.672,TRUE,,26.62900472,-24.41321477,0.024892983,0.416342497,0.373096267,6.240145333,16.72529555,26.53738487,-24.87486095,F,24,17,S,D,U
2,SUD,bottom,NA,6.113,TRUE,,10.03910461,-24.96988548,0.023886994,0.352653224,0.390757305,5.768906007,14.763399,9.947484758,-25.43153166,F,24,17,S,D,U
3,SUD,top,NA,6.792,TRUE,,190.5035492,-24.23672707,0.08057194,1.583421009,1.186277096,23.31303017,19.65226358,190.4119294,-24.69837324,F,30,17,S,D,U
3,SUD,middle,14.31411531,7.329,TRUE,,68.86295828,-24.24338925,0.029542514,0.47466363,0.403090656,6.476512894,16.06713725,68.77133844,-24.70503542,F,30,17,S,D,U
3,SUD,bottom,NA,7.214,TRUE,,24.03371875,-25.03582817,0.012858115,0.170117947,0.17823836,2.358163946,13.23039522,23.9420989,-25.49747435,F,30,17,S,D,U
4,SUD,top,NA,7.133,TRUE,,235.0361245,-23.1788725,0.073270604,1.501488907,1.027206,21.04989356,20.49237792,234.9445046,-23.64051867,D,39,16.3,S,D,U
4,SUD,middle,13,6.053,TRUE,,25.87846109,-25.08879026,0.029373267,0.481301237,0.485267914,7.951449472,16.38568973,25.78684124,-25.55043644,D,39,16.3,S,D,U
4,SUD,bottom,NA,6.643,TRUE,,14.61776887,-25.47457262,0.022740797,0.372031615,0.342327221,5.60035549,16.35965574,14.52614902,-25.93621879,D,39,16.3,S,D,U
5,SUD,top,NA,6.382,TRUE,,238.430736,-23.90027802,0.064910125,1.446093811,1.017081247,22.65894408,22.27840121,238.3391162,-24.3619242,B,48,16.3,S,D,U
5,SUD,middle,19.92031873,6.393,TRUE,,58.65944671,-24.45247836,0.035066243,0.717898943,0.548509985,11.2294532,20.47265046,58.56782687,-24.91412454,B,48,16.3,S,D,U
5,SUD,bottom,NA,6.271,TRUE,,12.56068077,-24.81801104,0.025877122,0.417929638,0.41264746,6.664481556,16.15054543,12.46906092,-25.27965722,B,48,16.3,S,D,U
6,SUD,top,NA,6.418,TRUE,,391.8433212,-22.59766887,0.067741096,1.777092572,1.055486063,27.68919557,26.23359659,391.7517013,-23.05931504,C,55,17,S,D,U
6,SUD,middle,17.1314741,7.477,TRUE,,30.87195416,-25.71619781,0.037916985,0.67550374,0.507114956,9.034422096,17.81533358,30.78033431,-26.17784398,C,55,17,S,D,U
6,SUD,bottom,NA,8.348,TRUE,,15.77130582,-24.60031699,0.023557675,0.36194360800000003,0.282195442,4.335692476,15.36414781,15.67968597,-25.06196317,C,55,17,S,D,U
2,SUW,top,NA,6.139,TRUE,,318.0206796,-23.12611021,0.059383275,1.367617691,0.967311853,22.27753202,23.03035154,317.9290597,-23.58775638,H,23,17,S,W,U
2,SUW,middle,16.46586345,7.288,TRUE,,36.63564118,-25.25907167,0.02878232,0.578091342,0.394927558,7.932098541,20.08494566,36.54402133,-25.72071784,H,23,17,S,W,U
2,SUW,bottom,NA,6.319,TRUE,,4.609399762,-25.27278723,0.018887756,0.275527908,0.298904198,4.360308727,14.58764635,4.517779914,-25.73443341,H,23,17,S,W,U
3,SUW,top,NA,6.253,TRUE,,468.1008793,-21.12214319,0.072076068,1.597153118,1.152663815,25.54218963,22.15927081,468.0092594,-21.58378936,D,29,17,S,W,U
3,SUW,middle,27.65531062,6.925,TRUE,,23.51627356,-26.06569921,0.061689477,1.071274284,0.890822769,15.46966475,17.36559199,23.42465371,-26.52734538,D,29,17,S,W,U
3,SUW,bottom,NA,6.944,TRUE,,15.95203146,-25.68477555,0.027200342,0.412817087,0.391709995,5.944946532,15.17690793,15.86041161,-26.14642172,D,29,17,S,W,U
4,SUW,top,NA,6.441,TRUE,,214.0764908,-23.72654253,0.07725054,1.484830994,1.199356308,23.05280227,19.22097889,213.984871,-24.1881887,F,37,16.3,S,W,U
4,SUW,middle,15.30815109,7.445,TRUE,,67.66324585,-24.64748727,0.029451852,0.541260835,0.395592368,7.27012539,18.37782015,67.571626,-25.10913344,F,37,16.3,S,W,U
4,SUW,bottom,NA,7.084,TRUE,,14.92129181,-25.46390197,0.012892356,0.175335587,0.181992597,2.475092983,13.59996516,14.82967197,-25.92554815,F,37,16.3,S,W,U
5,SUW,top,NA,6.192,TRUE,,127.5531858,-25.15471482,0.066243033,1.296048883,1.069816418,20.93102201,19.56505963,127.4615659,-25.616361,A,45,16.3,S,W,U
5,SUW,middle,22.8,6.428,TRUE,,64.74730481,-24.25923085,0.044080612,0.947169879,0.685759361,14.73506346,21.48722176,64.65568496,-24.72087703,A,45,16.3,S,W,U
5,SUW,bottom,NA,6.419,TRUE,,-1.510132384,-25.72032463,0.047522011,0.726654499,0.740333564,11.3203692,15.29090366,-1.601752233,-26.18197081,A,45,16.3,S,W,U
6,SUW,top,NA,8.409,TRUE,,79.05040007,-27.16123632,0.089172004,1.729933685,1.060435291,20.57240677,19.39996427,78.95878022,-27.62288249,G,56,17,S,W,U
6,SUW,middle,20.35928144,6.303,TRUE,,72.78248211,-24.65222203,0.035554549,0.647784998,0.564089307,10.27740756,18.21946886,72.69086226,-25.1138682,G,56,17,S,W,U
6,SUW,bottom,NA,7.011,TRUE,,0.373284414,-25.78522915,0.033599517,0.501612918,0.479240001,7.154655797,14.92917072,0.281664566,-26.24687532,G,56,17,S,W,U
2,BCD,top_poop,NA,6.341,TRUE,,6.684955617,-29.79087542,0.09995525,1.921528523,1.576332605,30.30324117,19.22388782,6.593335768,-30.25252159,B,19,17,B,D,C
2,BCW,top_poop,NA,7.479,TRUE,,131.9151862,-28.93915893,0.228342378,2.379707112,3.053113752,31.81852001,10.42166214,131.8235663,-29.4008051,C,17,17,B,W,C
3,BUD,top_poop,NA,6.608,TRUE,,18.47919511,-28.3413107,0.109928604,1.923218843,1.663568457,29.10440138,17.49516304,18.38757526,-28.80295688,C,26,17,B,D,U
4,SCW,top_poop,NA,6.152,TRUE,,325.6611047,-23.22388944,0.102945781,1.960689847,1.673370946,31.87077124,19.04584953,325.5694848,-23.68553561,B,40,16.3,S,W,C
