nr,run,treatment,layer,LOI,tray,well,6-8mg,beriget,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr
1,1,BCD,top,,0,A1,7.835,0,,119,EliseLabSoil_tray0_1.raw,5.6184835,-0.74848704,4.8902225,-28.81832026,7.835,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.065498929,1.299590038,0.835978679,16.58698198,19.84139357,-0.840106889,-29.27996644
2,1,BCD,middle,19.92031873,0,A2,7.632,0,,120,EliseLabSoil_tray0_2.raw,2.89325775,0.302357935,2.24856025,-26.66093572,7.632,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.033728903,0.597561052,0.441940554,7.829678354,17.71658719,0.210738087,-27.1225819
3,1,BCD,bottom,,0,A3,7.558,0,,121,EliseLabSoil_tray0_3.raw,1.954751625,0.880667392,1.223152375,-24.97974037,7.558,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.022788024,0.325056098,0.301508658,4.300821613,14.26433869,0.789047543,-25.44138655
19,1,BCW,top,,0,A4,6.348,0,,122,EliseLabSoil_tray0_4.raw,4.5876645,-0.371105272,4.340697,-28.13824309,6.348,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.053481889,1.15355213,0.842499834,18.17189871,21.56902348,-0.46272512,-28.59988927
20,1,BCW,middle,11.95219124,0,A5,7.421,0,,123,EliseLabSoil_tray0_5.raw,2.639076,-0.066432029,1.82198525,-26.79494903,7.421,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.030765713,0.484197576,0.414576382,6.524694462,15.73822036,-0.158051878,-27.2565952
21,1,BCW,bottom,,0,A6,7.907,0,,124,EliseLabSoil_tray0_6.raw,2.35990625,0.571279599,1.438348,-25.53253369,7.907,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.02751122,0.382244925,0.347934988,4.834259832,13.89414687,0.479659751,-25.99417986
37,1,BUD,top,,0,A7,6.417,0,,125,EliseLabSoil_tray0_7.raw,4.9585875,-0.432952835,4.203603,-27.94078119,6.417,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.057806021,1.117119023,0.900826252,17.40874277,19.32530577,-0.524572683,-28.40242736
38,1,BUD,middle,16.07142857,0,A8,6.991,0,,126,EliseLabSoil_tray0_8.raw,2.445921,-0.191690835,2.04697025,-26.52688023,6.991,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.028513959,0.543987957,0.407866669,7.781261003,19.07795268,-0.283310683,-26.9885264
39,1,BUD,bottom,,0,A9,8.197,0,,127,EliseLabSoil_tray0_9.raw,2.03960725,0.194345664,1.324812375,-25.30788414,8.197,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.023777251,0.352072521,0.290072598,4.295138725,14.80711643,0.102725816,-25.76953031
55,1,BUW,top,,0,A10,6.307,0,,128,EliseLabSoil_tray0_10.raw,5.1494425,-0.916412156,4.4407735,-28.13851294,6.307,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.060030962,1.180147734,0.951814845,18.71171292,19.65898412,-1.008032004,-28.60015912
56,1,BUW,middle,18.09145129,0,A11,8.137,0,,129,EliseLabSoil_tray0_11.raw,3.51352425,0.030054339,2.834649,-26.80513742,8.137,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.040959821,0.753315744,0.503377421,9.257905178,18.39157815,-0.06156551,-27.2667836
57,1,BUW,bottom,,0,A12,8.528,0,,130,EliseLabSoil_tray0_12.raw,1.047468625,2.888360707,0.572817125,-23.16578022,8.528,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.012211137,0.152227722,0.143188759,1.785034259,12.46630167,2.796740859,-23.62742639
,,,,,,,1.324,,PEACH,131,peach 1324u.raw,3.11618675,2.113763161,2.2606745,-25.70273247,1.324,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.036327756,0.600780447,2.743788197,45.3761667,16.53778041,2.022143312,-26.16437864
73,1,SCD,top,,0,B1,6.665,0,,132,EliseLabSoil_tray0_13.raw,4.9237535,-0.928470267,5.702659,-28.52786445,6.665,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.057399934,1.515497266,0.861214317,22.73814352,26.40242165,-1.020090115,-28.98951062
74,1,SCD,middle,20.03968254,0,B2,8.078,0,,133,EliseLabSoil_tray0_14.raw,4.03823625,-0.311868266,2.8631295,-26.73087114,8.078,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.047076787,0.760884515,0.582777755,9.419219055,16.16262627,-0.403488114,-27.19251731
75,1,SCD,bottom,,0,B3,8.225,0,,134,EliseLabSoil_tray0_15.raw,3.40629175,0.81559576,2.044646125,-25.67380621,8.225,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.03970973,0.543370314,0.482793071,6.606326007,13.68355598,0.723975912,-26.13545238
91,1,SCW,top,,0,B4,6.204,0,,135,EliseLabSoil_tray0_16.raw,5.3500395,-0.168822626,5.3385805,-27.72010421,6.204,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.062369474,1.418742406,1.005310669,22.86818837,22.74738455,-0.260442474,-28.18175038
92,1,SCW,middle,20.79207921,0,B5,8.372,0,,136,EliseLabSoil_tray0_17.raw,3.4288615,0.995563146,2.65270525,-26.88697218,8.372,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.039972843,0.704963694,0.477458705,8.420493238,17.63606601,0.903943297,-27.34861836
93,1,SCW,bottom,,0,B6,6.287,0,,137,EliseLabSoil_tray0_18.raw,1.543985375,2.468885278,1.091637625,-25.7279754,6.287,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.01799941,0.290105692,0.286295693,4.61437398,16.11751102,2.377265429,-26.18962157
109,1,SUD,top,,0,B7,6.151,0,,138,EliseLabSoil_tray0_19.raw,5.8064535,-1.103098179,5.0874565,-29.01936574,6.151,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.067690239,1.352005515,1.100475346,21.98025548,19.97341927,-1.194718028,-29.48101192
110,1,SUD,middle,20.3187251,0,B8,7.875,0,,139,EliseLabSoil_tray0_20.raw,3.48156575,0.012972775,2.501813,-27.0739143,7.875,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.040587256,0.664863665,0.51539373,8.442713202,16.38109412,-0.078647074,-27.53556048
111,1,SUD,bottom,,0,B9,6.733,0,,140,EliseLabSoil_tray0_21.raw,3.1522085,0.236193037,1.971749,-26.45221608,6.733,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.036747689,0.523997703,0.545784771,7.782529382,14.25933774,0.144573189,-26.91386226
127,1,SUW,top,,0,B10,6.492,0,,141,EliseLabSoil_tray0_22.raw,6.8828545,0.928937279,5.8472615,-28.87123282,6.492,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.080238663,1.553925777,1.235962146,23.93601012,19.36629709,0.83731743,-29.33287899
128,1,SUW,middle,19.20792079,0,B11,6.891,0,,142,EliseLabSoil_tray0_23.raw,2.703765,-0.083230225,1.835389125,-26.05408468,6.891,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.031519842,0.487759693,0.457405923,7.078213504,15.47468703,-0.174850073,-26.51573086
129,1,SUW,bottom,,0,B12,6.529,0,,143,EliseLabSoil_tray0_24.raw,2.097678,0.809968191,1.341881625,-25.47601593,6.529,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.024454226,0.356608721,0.374547797,5.461919456,14.58270346,0.718348342,-25.9376621
,,,,,,,1.441,,PEACH,144,peach 1441u.raw,3.39128475,2.546544446,2.4673745,-25.8620844,1.441,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.039534782,0.655711539,2.743565722,45.50392359,16.58568746,2.454924597,-26.32373058
,,,,,,,1.31,,PEACH,145,peach 1310 eft ASH RED.raw,3.1629505,0.321426747,2.26009725,-25.74611088,1.31,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.036872916,0.600627041,2.814726434,45.84939247,16.28911141,0.229806899,-26.20775706
4,2,BCD,top,,1,A4,7.129,1,,146,EliseLabSoil_tray1_4.raw,6.5199915,158.3815402,6.4772795,-27.60524553,7.129,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.076008493,1.721354788,1.066187304,24.1458099,22.64687433,158.2899203,-28.0668917
5,2,BCD,middle,14.54183267,1,A5,7.483,1,,147,EliseLabSoil_tray1_5.raw,2.7969715,53.36249923,1.900776875,-25.09372374,7.483,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.032606421,0.505136666,0.435739959,6.750456587,15.49193837,53.27087938,-25.55536991
6,2,BCD,bottom,,1,A6,7.616,1,,148,EliseLabSoil_tray1_6.raw,2.15183175,2.573104134,1.327128875,-24.93353747,7.616,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.025085537,0.352688138,0.329379426,4.630884158,14.05942144,2.481484286,-25.39518364
7,3,BCD,top,,1,A7,6.132,1,,149,EliseLabSoil_tray1_7.raw,4.7044805,169.5213214,4.0359515,-24.53949234,6.132,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.054843702,1.072565178,0.89438523,17.49127817,19.55676099,169.4297016,-25.00113852
8,3,BCD,middle,21.51394422,1,A8,7.214,1,,150,EliseLabSoil_tray1_8.raw,4.2313495,10.90986051,2.94318375,-26.85895794,7.214,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.049328055,0.782159152,0.683782297,10.84223942,15.85627395,10.81824066,-27.32060412
9,3,BCD,bottom,,1,A9,7.789,1,,151,EliseLabSoil_tray1_9.raw,2.59888175,1.693261149,1.493147625,-24.95732814,7.789,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.030297138,0.396808076,0.388973404,5.094467525,13.097213,1.6016413,-25.41897432
10,4,BCD,top,,1,A10,6.594,1,,152,EliseLabSoil_tray1_10.raw,5.5507065,55.97569984,4.9314725,-26.82182813,6.594,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.064708802,1.310552339,0.981328503,19.87492173,20.25307699,55.88407999,-27.2834743
11,4,BCD,middle,22.31075697,1,A11,6.859,1,,153,EliseLabSoil_tray1_11.raw,4.209648,60.47446477,3.32568875,-25.22130277,6.859,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.049075064,0.883810904,0.71548424,12.88541922,18.00936834,60.38284492,-25.68294894
12,4,BCD,bottom,,1,A12,7.065,1,,154,EliseLabSoil_tray1_12.raw,3.02267675,0.661124233,1.908250125,-25.54356708,7.065,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.035237639,0.507122703,0.498763463,7.177957581,14.39150643,0.569504384,-26.00521326
13,5,BCD,top,,1,B1,6.204,1,,155,EliseLabSoil_tray1_13.raw,4.9101765,55.36910388,5.6065665,-28.02341908,6.204,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.057241657,1.489960421,0.922657266,24.01612541,26.02930285,55.27748403,-28.48506525
14,5,BCD,middle,16.46825397,1,B2,7.186,1,,156,EliseLabSoil_tray1_14.raw,2.066360375,3.357233292,1.412505375,-25.57513264,7.186,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.024089132,0.375377176,0.335223105,5.223729147,15.5828434,3.265613443,-26.03677881
15,5,BCD,bottom,,1,B3,6.566,1,,157,EliseLabSoil_tray1_15.raw,2.880961,0.860972757,2.002011625,-26.22621253,6.566,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.033585551,0.532040079,0.511507013,8.102955815,15.84133864,0.769352909,-26.6878587
16,6,BCD,top,,1,B4,6.177,1,,158,EliseLabSoil_tray1_16.raw,4.658765,56.20055531,5.7606615,-29.35444611,6.177,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.054310762,1.530911589,0.879241735,24.78406329,28.18799687,56.10893546,-29.81609228
17,6,BCD,middle,13.2,1,B5,6.636,1,,159,EliseLabSoil_tray1_17.raw,1.554733125,83.2718612,1.286763,-24.27705648,6.636,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.018124705,0.341960796,0.273126957,5.153116268,18.86710972,83.18024136,-24.73870265
18,6,BCD,bottom,,1,B6,7.292,1,,160,EliseLabSoil_tray1_18.raw,1.361557375,2.012265478,0.787391813,-24.19857748,7.292,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.015872708,0.209251533,0.217672908,2.86960413,13.18310192,1.92064563,-24.66022365
,,,,,,,1.224,,PEACH,161,peach 1224u.raw,2.98629125,1.913373639,2.132255,-25.64063445,1.224,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.034813465,0.566652613,2.844237355,46.29514811,16.27682304,1.82175379,-26.10228063
22,2,BCW,top,,1,B10,6.963,1,,162,EliseLabSoil_tray1_22.raw,4.943116,155.2611773,4.5390095,-25.65342681,6.963,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.057625658,1.206254221,0.827598127,17.32377166,20.93258925,155.1695575,-26.11507299
23,2,BCW,middle,19.68190855,1,B11,7.865,1,,163,EliseLabSoil_tray1_23.raw,3.58784575,93.27925539,2.8181485,-25.2085073,7.865,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.041826243,0.748930691,0.531802199,9.522322838,17.90576057,93.18763554,-25.67015347
24,2,BCW,bottom,,1,B12,6.307,1,,164,EliseLabSoil_tray1_24.raw,2.20511175,2.023039916,1.502234875,-25.98261532,6.307,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.025706662,0.399223037,0.407589385,6.329840449,15.52994433,1.931420067,-26.44426149
25,3,BCW,top,,1,C1,7.746,1,,165,EliseLabSoil_tray1_25.raw,7.1115185,800.7237952,5.8796825,-17.80335762,7.746,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.082904372,1.562541746,1.070286244,20.17224046,18.84751914,800.6321754,-18.2650038
26,3,BCW,middle,12.35059761,1,C2,8.049,1,,166,EliseLabSoil_tray1_26.raw,2.315957,74.88069961,1.6630425,-24.12677364,8.049,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.02699887,0.441958104,0.335431355,5.49084488,16.36950393,74.78907976,-24.58841981
27,3,BCW,bottom,,1,C3,7.891,1,,167,EliseLabSoil_tray1_27.raw,1.722862375,1.147091773,1.13083325,-24.69460397,7.891,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.020084715,0.300522037,0.254526869,3.808415117,14.96272331,1.055471924,-25.15625015
28,4,BCW,top,,1,C4,6.321,1,,168,EliseLabSoil_tray1_28.raw,5.3556585,153.0643995,4.714076,-25.63287863,6.321,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.062434979,1.252778623,0.987738947,19.8193106,20.06533271,152.9727796,-26.0945248
29,4,BCW,middle,21.82539683,1,C5,6.829,1,,169,EliseLabSoil_tray1_29.raw,4.1190255,102.2946515,3.101187,-24.38559885,6.829,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.048018609,0.824148949,0.703157252,12.06836943,17.16311594,102.2030316,-24.84724502
30,4,BCW,bottom,,1,C6,6.404,1,,170,EliseLabSoil_tray1_30.raw,2.81128625,-0.194939292,1.784609625,-26.01699698,6.404,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.032773299,0.474264901,0.511762945,7.405760481,14.47107601,-0.286559141,-26.47864315
31,5,BCW,top,,1,C7,6.379,1,,171,EliseLabSoil_tray1_31.raw,4.8465125,266.9224358,5.8598805,-26.25883145,6.379,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.056499477,1.557279311,0.885710569,24.41259305,27.56272071,266.8308159,-26.72047762
