run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,atmospheric_pressure,thaw_depth_cm,soil_pipe_cm_1,soil_pipe_cm_2,soil_pipe_cm_3,pipe_lid_cm_1,pipe_lid_cm_2,pipe_lid_cm_3,C13_pipe_lid_cm_1,C13_pipe_lid_cm_2,C13_pipe_lid_cm_3,,comment
2,10/22/2025,1,20,BUD,A,1000,-,3.5,4,3.7,1.7,1.5,1,-,-,-,,
2,10/22/2025,1,19,BCD,B,1000,-,5,3.4,4,1.7,1.3,2.2,-,-,-,,
2,10/22/2025,1,17,BCW,C,1000,-,2.8,2.7,3.5,1.7,2,1.7,-,-,-,,
2,10/22/2025,1,22,SCD,D,1000,-,1,2.5,2.5,1.4,1.5,1.3,-,-,-,,
2,10/22/2025,1,21,SCW,E,1000,-,3,2.5,2.5,1.8,1.2,1.7,-,-,-,,
2,10/22/2025,1,24,SUD,F,1001,-,4,2.8,3,1.7,1.4,1,-,-,-,,
2,10/22/2025,1,18,BUW,G,1001,-,3.8,3,2.5,1.9,1,0.9,-,-,-,,
2,10/22/2025,1,23,SUW,H,1000,-,3,3,2.7,1.7,1.5,1.6,-,-,-,,
2,10/22/2025,2,20,BUD,A,1001,-,3.5,4,3.7,1.8,1.9,1.4,-,-,-,,
2,10/22/2025,2,19,BCD,B,1001,-,5,3.4,4,1.3,1.7,1.6,-,-,-,,
2,10/22/2025,2,17,BCW,C,1001,-,2.8,2.7,3.5,1.8,1.4,1.6,-,-,-,,
2,10/22/2025,2,22,SCD,D,1001,-,1,2.5,2.5,1,1.6,1,-,-,-,,
2,10/22/2025,2,21,SCW,E,1000,-,3,2.5,2.5,1.3,1.6,1,-,-,-,,
2,10/22/2025,2,24,SUD,F,1000,-,4,2.8,3,1.5,1.7,1,-,-,-,,
2,10/22/2025,2,18,BUW,G,1000,-,3.8,3,2.5,1.4,0.5,1.5,-,-,-,,
2,10/22/2025,2,23,SUW,H,1000,-,3,3,2.7,1.6,1.6,1.4,-,-,-,,
2,10/22/2025,6,20,BUD,A,1001,-,3.5,4,3.7,1.6,1.5,0.5,1.4,1.5,1.1,,
2,10/22/2025,6,19,BCD,B,1002,-,5,3.4,4,0.9,1.2,1.3,1.7,1.8,1.2,,
2,10/22/2025,6,17,BCW,C,1002,-,2.8,2.7,3.5,1.4,1.1,0.8,1.2,1.9,1,,
2,10/22/2025,6,22,SCD,D,1001,-,1,2.5,2.5,0.6,1,1.1,1.1,1.3,1.1,,
2,10/22/2025,6,21,SCW,E,1001,-,3,2.5,2.5,1.1,1.1,1.2,1.3,1.6,1.7,,
2,10/22/2025,6,24,SUD,F,1001,-,4,2.8,3,0.7,1.4,1.2,1.6,1.2,1.3,,
2,10/22/2025,6,18,BUW,G,1002,-,3.8,3,2.5,0.7,1.9,0.9,1.8,1.5,1.7,,
2,10/22/2025,6,23,SUW,H,1001,-,3,3,2.7,0.7,1.4,1.2,1.5,1.4,1.5,,
2,10/22/2025,12,20,BUD,A,1002,3.2,3.5,4,3.7,1.6,1.3,1.4,-,-,-,,
2,10/22/2025,12,19,BCD,B,1002,4.2,5,3.4,4,1.3,1.1,1.3,-,-,-,,
2,10/22/2025,12,17,BCW,C,1002,4.8,2.8,2.7,3.5,1.1,0.9,1.3,-,-,-,,
2,10/22/2025,12,22,SCD,D,1002,3.4,1,2.5,2.5,1.6,1.1,1.2,-,-,-,,
2,10/22/2025,12,21,SCW,E,1002,4.5,3,2.5,2.5,1.4,1.1,1.6,-,-,-,,
2,10/22/2025,12,24,SUD,F,1002,2.4,4,2.8,3,0.9,1,0.8,-,-,-,,
2,10/22/2025,12,18,BUW,G,1002,2.6,3.8,3,2.5,1.2,1.4,1.6,-,-,-,,
2,10/22/2025,12,23,SUW,H,1002,2.5,3,3,2.7,1.8,1.1,1.1,-,-,-,,
2,10/23/2025,24,20,BUD,A,1002,4.5,3.5,4,3.7,1.2,1.9,1.9,1.3,1.1,,,
2,10/23/2025,24,19,BCD,B,1003,4.7,5,3.4,4,1.7,0.9,1.2,1.2,1.3,,,
2,10/23/2025,24,17,BCW,C,1003,6.2,2.8,2.7,3.5,1.4,1.4,1.2,1.2,1.4,,,
2,10/23/2025,24,22,SCD,D,1003,5.0,1,2.5,2.5,1.1,1.6,1.2,0.8,0.4,,,
2,10/23/2025,24,21,SCW,E,1002,6.7,3,2.5,2.5,1.4,1.4,1,1.4,1.3,,,
2,10/23/2025,24,24,SUD,F,1003,3.4,4,2.8,3,1.2,1.7,1.9,0.8,1.3,,,
2,10/23/2025,24,18,BUW,G,1003,5.0,3.8,3,2.5,1.5,1.2,1.8,1.6,1.5,,,
2,10/23/2025,24,23,SUW,H,1002,3.6,3,3,2.7,1.9,1.5,1.1,1.2,0.9,,,
2,10/23/2025,30,20,BUD,A,1004,-,3.5,4,3.7,1.1,1.3,0.7,-,-,-,,
2,10/23/2025,30,19,BCD,B,1004,-,5,3.4,4,0.9,0.5,1.2,-,-,-,,
2,10/23/2025,30,17,BCW,C,1004,-,2.8,2.7,3.5,1,1.5,1.2,-,-,-,,
2,10/23/2025,30,22,SCD,D,1004,-,1,2.5,2.5,0.7,1,1.2,-,-,-,,
2,10/23/2025,30,21,SCW,E,1004,-,3,2.5,2.5,0.5,1.1,1.2,-,-,-,,
2,10/23/2025,30,24,SUD,F,1004,-,4,2.8,3,0.7,0.5,1.5,-,-,-,,
2,10/23/2025,30,18,BUW,G,1004,-,3.8,3,2.5,1.5,1,1.6,-,-,-,,
2,10/23/2025,30,23,SUW,H,1004,-,3,3,2.7,1.1,1.5,1,-,-,-,,
2,10/23/2025,36,20,BUD,A,1005,5.2,3.5,4,3.7,1.1,0.7,1.3,-,-,-,,
2,10/23/2025,36,19,BCD,B,1005,5.4,5,3.4,4,1.1,1.3,1.2,-,-,-,,
2,10/23/2025,36,17,BCW,C,1005,6.6,2.8,2.7,3.5,1,1.3,1.1,-,-,-,,
2,10/23/2025,36,22,SCD,D,1005,6.6,1,2.5,2.5,0.6,0.8,0.7,-,-,-,,
2,10/23/2025,36,21,SCW,E,1005,7.4,3,2.5,2.5,0.7,1.3,1.1,-,-,-,,
2,10/23/2025,36,24,SUD,F,1005,3.7,4,2.8,3,1.1,1.3,0.4,-,-,-,,
2,10/23/2025,36,18,BUW,G,1004,6.0,3.8,3,2.5,1.1,0.9,1,-,-,-,,
2,10/23/2025,36,23,SUW,H,1005,4.3,3,3,2.7,1.2,1.8,1.5,-,-,-,,
2,10/24/2025,48,20,BUD,A,1008,5.2,3.5,4,3.7,1.1,1.6,0.9,1.2,1.1,1.4,,
2,10/24/2025,48,19,BCD,B,1008,5.7,5,3.4,4,1.4,1.3,1.4,1.5,1.7,1.1,,
2,10/24/2025,48,17,BCW,C,1008,6.6,2.8,2.7,3.5,1.4,1.5,1.8,1.8,1.6,1.6,,
2,10/24/2025,48,22,SCD,D,1008,6.7,1,2.5,2.5,1.2,2,1.2,1.6,1.8,1.5,,
2,10/24/2025,48,21,SCW,E,1008,8.1,3,2.5,2.5,1,1,1,1.1,1.5,1.1,,
2,10/24/2025,48,24,SUD,F,1008,5.8,4,2.8,3,1.5,1,1.6,1.6,1.1,1.1,,
2,10/24/2025,48,18,BUW,G,1008,6.7,3.8,3,2.5,1.8,1.4,1.2,1.8,1.0,1.2,,
2,10/24/2025,48,23,SUW,H,1008,4.6,3,3,2.7,1.2,1,2,1.8,0.9,1.5,,
2,10/24/2025,54,20,BUD,A,1009,-,3.5,4,3.7,0.9,1.1,1.3,-,-,-,,
2,10/24/2025,54,19,BCD,B,1009,-,5,3.4,4,1.1,1.5,1.3,-,-,-,,
2,10/24/2025,54,17,BCW,C,1009,-,2.8,2.7,3.5,1.3,1.4,1.1,-,-,-,,
2,10/24/2025,54,22,SCD,D,1009,-,1,2.5,2.5,1.1,0.8,1.1,-,-,-,,
2,10/24/2025,54,21,SCW,E,1009,-,3,2.5,2.5,1.1,1.2,1,-,-,-,,
2,10/24/2025,54,24,SUD,F,1011,-,4,2.8,3,8,1.1,1,-,-,-,,
2,10/24/2025,54,18,BUW,G,1011,-,3.8,3,2.5,1.1,0.9,1.3,-,-,-,,
2,10/24/2025,54,23,SUW,H,1011,-,3,3,2.7,1.1,1.4,1.3,-,-,-,,
2,10/24/2025,60,20,BUD,A,1011,9.8,3.5,4,3.7,1.1,1.2,1.4,-,-,-,,
2,10/24/2025,60,19,BCD,B,1011,5.9,5,3.4,4,0.9,1.2,1.9,-,-,-,,
2,10/24/2025,60,17,BCW,C,1011,6.7,2.8,2.7,3.5,1.1,1.4,1.2,-,-,-,,
2,10/24/2025,60,22,SCD,D,1012,6.8,1,2.5,2.5,1.2,0.6,0.3,-,-,-,,
2,10/24/2025,60,21,SCW,E,1011,8,3,2.5,2.5,1.2,1.3,0.9,-,-,-,,
2,10/24/2025,60,24,SUD,F,1011,5.5,4,2.8,3,1.5,0.6,0.7,-,-,-,,
2,10/24/2025,60,18,BUW,G,1011,6.6,3.8,3,2.5,1.4,0.7,1,-,-,-,,
2,10/24/2025,60,23,SUW,H,1011,5,3,3,2.7,1.2,0.9,1.3,-,-,-,,
2,10/25/2025,72,20,BUD,A,1012,6.5,3.5,4,3.7,1.4,1.2,1.3,-,-,-,,
2,10/25/2025,72,19,BCD,B,1012,7.5,5,3.4,4,1.4,1.3,1.6,-,-,-,,
2,10/25/2025,72,17,BCW,C,1012,7.7,2.8,2.7,3.5,1.2,1.1,1.4,-,-,-,,
2,10/25/2025,72,22,SCD,D,1012,7.3,1,2.5,2.5,0.9,0.7,1.1,-,-,-,,
2,10/25/2025,72,21,SCW,E,1012,8.4,3,2.5,2.5,0.7,1,1.1,-,-,-,,
2,10/25/2025,72,24,SUD,F,1012,6.4,4,2.8,3,0.7,1.2,1.1,-,-,-,,
2,10/25/2025,72,18,BUW,G,1012,8.3,3.8,3,2.5,0.9,1.1,1.2,-,-,-,,
2,10/25/2025,72,23,SUW,H,1012,5.5,3,3,2.7,0.9,1.3,1.5,-,-,-,,
2,10/25/2025,78,20,BUD,A,1013,-,3.5,4,3.7,1.4,1.1,1.2,-,-,-,,
2,10/25/2025,78,19,BCD,B,1013,-,5,3.4,4,1.5,1.4,1.3,-,-,-,,
2,10/25/2025,78,17,BCW,C,1012,-,2.8,2.7,3.5,1.2,1.3,1.7,-,-,-,,
2,10/25/2025,78,22,SCD,D,1012,-,1,2.5,2.5,1.2,1.1,0.4,-,-,-,,
2,10/25/2025,78,21,SCW,E,1013,-,3,2.5,2.5,1.6,1.3,0.8,-,-,-,,
2,10/25/2025,78,24,SUD,F,1013,-,4,2.8,3,1.2,1.1,1.2,-,-,-,,
2,10/25/2025,78,18,BUW,G,1013,-,3.8,3,2.5,0.7,1.2,1.1,-,-,-,,
2,10/25/2025,78,23,SUW,H,1013,-,3,3,2.7,1.4,1.2,1.3,-,-,-,,
2,10/25/2025,84,20,BUD,A,1013,6.9,3.5,4,3.7,1.9,1.4,0.8,-,-,-,,
2,10/25/2025,84,19,BCD,B,1013,8.4,5,3.4,4,1.1,1.3,1.4,-,-,-,,
2,10/25/2025,84,17,BCW,C,1013,8.8,2.8,2.7,3.5,1.3,1.1,1.2,-,-,-,,
2,10/25/2025,84,22,SCD,D,1013,7.4,1,2.5,2.5,1.1,1.4,1.3,-,-,-,,
2,10/25/2025,84,21,SCW,E,1013,8.5,3,2.5,2.5,1.2,1.1,1.5,-,-,-,,
2,10/25/2025,84,24,SUD,F,1013,6.4,4,2.8,3,1.3,1.2,1.5,-,-,-,,
2,10/25/2025,84,18,BUW,G,1013,8.5,3.8,3,2.5,1.1,1,0.9,-,-,-,,
2,10/25/2025,84,23,SUW,H,1013,8.7,3,3,2.7,1.2,1.5,1.2,-,-,-,,
2,10/26/2025,97,20,BUD,A,1012,6.8,3.5,4,3.7,1.6,1.6,1,1.3,1.2,0.6,,day light saving
2,10/26/2025,97,19,BCD,B,1012,7.0,5,3.4,4,0.9,1.2,1.3,1.2,1.3,1.2,,day light saving
2,10/26/2025,97,17,BCW,C,1012,8.5,2.8,2.7,3.5,1.6,1.6,0.9,1.4,1.3,1,,day light saving
2,10/26/2025,97,22,SCD,D,1013,7.5,1,2.5,2.5,1.2,1.2,0.9,1.8,1.5,0.7,,day light saving
2,10/26/2025,97,21,SCW,E,1013,9.1,3,2.5,2.5,1.5,1.4,0.7,1.4,1.7,1.5,,day light saving
2,10/26/2025,97,24,SUD,F,1013,8.0,4,2.8,3,1.2,1.4,1.2,1.6,0.9,1.4,,day light saving
2,10/26/2025,97,18,BUW,G,1013,10.1,3.8,3,2.5,2,1,0.6,1.7,1,0.7,,day light saving
2,10/26/2025,97,23,SUW,H,1013,7.9,3,3,2.7,0.4,0.6,1.8,1.5,0.9,1.1,,day light saving
2,10/26/2025,103,20,BUD,A,1013,-,3.5,4,3.7,1.4,1,0.9,-,-,-,,day light saving
2,10/26/2025,103,19,BCD,B,1013,-,5,3.4,4,1.2,1.4,1.1,-,-,-,,day light saving
2,10/26/2025,103,17,BCW,C,1013,-,2.8,2.7,3.5,1.3,1.1,1.4,-,-,-,,day light saving
2,10/26/2025,103,22,SCD,D,1013,-,1,2.5,2.5,1.2,1.3,1.1,-,-,-,,day light saving
2,10/26/2025,103,21,SCW,E,1013,-,3,2.5,2.5,1.2,1,1.2,-,-,-,,day light saving
2,10/26/2025,103,24,SUD,F,1013,-,4,2.8,3,0.9,0.8,1.1,-,-,-,,day light saving
2,10/26/2025,103,18,BUW,G,1013,-,3.8,3,2.5,1,1.6,1.2,-,-,-,,day light saving
2,10/26/2025,103,23,SUW,H,1013,-,3,3,2.7,1.2,1.4,1.3,-,-,-,,day light saving
2,10/26/2025,108,20,BUD,A,1012,7.4,3.5,4,3.7,1.1,1.9,0.7,-,-,-,,day light saving
2,10/26/2025,108,19,BCD,B,1012,7.5,5,3.4,4,1.4,1.2,1.9,-,-,-,,day light saving
2,10/26/2025,108,17,BCW,C,1013,8.8,2.8,2.7,3.5,1.2,0.8,1.7,-,-,-,,day light saving
2,10/26/2025,108,22,SCD,D,1013,8.0,1,2.5,2.5,1,1.1,0.1,-,-,-,,day light saving
2,10/26/2025,108,21,SCW,E,1013,9.9,3,2.5,2.5,0.9,0.6,1,-,-,-,,day light saving
2,10/26/2025,108,24,SUD,F,1013,8.6,4,2.8,3,1.2,1.4,1.2,-,-,-,,day light saving
2,10/26/2025,108,18,BUW,G,1013,11.0,3.8,3,2.5,1.7,1,0.9,-,-,-,,day light saving
2,10/26/2025,108,23,SUW,H,1013,8.7,3,3,2.7,0.9,1.1,1.3,-,-,-,,day light saving
2,10/27/2025,120,20,BUD,A,1012,7.5,3.5,4,3.7,1.2,1.1,1.2,-,-,-,,day light saving
2,10/27/2025,120,19,BCD,B,1012,9.8,5,3.4,4,1.2,1.4,1.3,-,-,-,,day light saving
2,10/27/2025,120,17,BCW,C,1013,8.9,2.8,2.7,3.5,1.2,1.3,1.3,-,-,-,,day light saving
2,10/27/2025,120,22,SCD,D,1013,8.0,1,2.5,2.5,1.1,1.3,1.1,-,-,-,,day light saving
2,10/27/2025,120,21,SCW,E,1013,9.7,3,2.5,2.5,1,1.4,1.2,-,-,-,,day light saving
2,10/27/2025,120,24,SUD,F,1013,8.7,4,2.8,3,1.1,1.4,1,-,-,-,,day light saving
2,10/27/2025,120,18,BUW,G,1013,11.1,3.8,3,2.5,0.9,1.4,1.3,-,-,-,,day light saving
2,10/27/2025,120,23,SUW,H,1013,8.5,3,3,2.7,1.1,1.3,1.3,-,-,-,,day light saving
2,10/27/2025,126,20,BUD,A,1013,-,3.5,4,3.7,1.3,1.5,1.2,-,-,-,,day light saving
2,10/27/2025,126,19,BCD,B,1012,-,5,3.4,4,1.1,1.4,1.5,-,-,-,,day light saving
2,10/27/2025,126,17,BCW,C,1013,-,2.8,2.7,3.5,1.5,1.3,1.4,-,-,-,,day light saving
2,10/27/2025,126,22,SCD,D,1013,-,1,2.5,2.5,1.2,0.6,1,-,-,-,,day light saving
2,10/27/2025,126,21,SCW,E,1013,-,3,2.5,2.5,1.4,1.3,1.5,-,-,-,,day light saving
2,10/27/2025,126,24,SUD,F,1012,-,4,2.8,3,0.7,1.1,1.1,-,-,-,,day light saving
2,10/27/2025,126,18,BUW,G,1012,-,3.8,3,2.5,1.1,1.4,1.2,-,-,-,,day light saving
2,10/27/2025,126,23,SUW,H,1012,-,3,3,2.7,0.9,1.3,1.4,-,-,-,,day light saving
2,10/27/2025,132,20,BUD,A,1012,10.1,3.5,4,3.7,1.3,0.8,1.6,-,-,-,,day light saving
2,10/27/2025,132,19,BCD,B,1012,16.2,5,3.4,4,1.4,1.6,1.1,-,-,-,,day light saving
2,10/27/2025,132,17,BCW,C,1012,11,2.8,2.7,3.5,0.9,1.6,1.3,-,-,-,,day light saving
2,10/27/2025,132,22,SCD,D,1012,10.8,1,2.5,2.5,1.1,1.5,1,-,-,-,,day light saving
2,10/27/2025,132,21,SCW,E,1012,12.1,3,2.5,2.5,1,1.2,0.8,-,-,-,,day light saving
2,10/27/2025,132,24,SUD,F,1012,10.1,4,2.8,3,0.5,1.5,1.2,-,-,-,,day light saving
2,10/27/2025,132,18,BUW,G,1012,12.3,3.8,3,2.5,1.5,1.1,1,-,-,-,,day light saving
2,10/27/2025,132,23,SUW,H,1012,11.8,3,3,2.7,1.1,1,1.7,-,-,-,,day light saving
